,epoch,train_loss,val_loss
0,1,75882.83872032166,15194.955078125
1,2,74026.02394485474,15659.7509765625
2,3,73529.73594760895,15560.3349609375
3,4,73088.75856590271,15141.126953125
4,5,72578.41913414001,15112.306640625
5,6,71694.78819561005,16487.50390625
6,7,70593.28528022766,15211.1298828125
7,8,69899.87069034576,16156.78515625
8,9,64363.21322631836,15251.025390625
9,10,54284.601925849915,15347.677734375
10,11,41722.38905334473,15281.2763671875
11,12,34394.41811943054,15256.1513671875
12,13,23819.478289604187,15177.7177734375
13,14,20574.52169418335,16187.486328125
14,15,16248.617067337036,16290.0498046875
15,16,13497.209335327148,16709.513671875
16,17,12324.822882652283,15787.81640625
17,18,11714.04774093628,15893.85546875
18,19,11139.906859397888,15895.625
19,20,10514.712071418762,15861.3779296875
20,21,9832.51120376587,15581.451171875
21,22,9391.848096847534,15986.3896484375
22,23,9036.407264709473,16183.2783203125
23,24,8715.939025878906,17039.40625
24,25,8176.747186183929,15479.4677734375
25,26,7718.61621761322,15567.24609375
26,27,7410.561689376831,15853.322265625
27,28,7214.645371437073,16053.7587890625
28,29,6983.393106460571,15806.7265625
29,30,6830.1622223854065,16274.853515625
