,epoch,train_loss,val_loss
0,1,55957.16415977478,36317.859375
1,2,54765.17893600464,36039.48828125
2,3,54515.366554260254,35431.5625
3,4,54380.45377635956,36329.71484375
4,5,54267.368604660034,36056.50390625
5,6,54104.93384552002,34923.70703125
6,7,53614.768288612366,36104.69921875
7,8,52278.15429496765,36114.07421875
8,9,49044.22632408142,36341.62109375
9,10,32758.703491687775,36336.82421875
10,11,17719.274272441864,36332.35546875
11,12,14906.609256744385,36332.22265625
12,13,12171.383631706238,36337.625
13,14,10296.291097164154,36350.7421875
14,15,8903.26556968689,36337.4453125
15,16,7461.640585422516,34999.01171875
16,17,6389.709502220154,35517.734375
17,18,5852.42387342453,35580.1015625
18,19,5401.056214332581,35632.29296875
19,20,5111.062718868256,35434.20703125
20,21,4900.206108093262,35359.5546875
21,22,4690.731390476227,35505.53515625
22,23,4509.641152381897,35134.28125
23,24,4334.636202335358,35435.68359375
24,25,4205.6382513046265,35313.2265625
25,26,4104.745369434357,35513.95703125
26,27,3979.053874015808,35341.1328125
27,28,3853.130151748657,35282.6953125
28,29,3761.1133093833923,35562.953125
29,30,3641.622221469879,35675.02734375
