,epoch,train_loss,val_loss
0,1,84342.47634649277,7666.6474609375
1,2,82349.85935497284,6986.89111328125
2,3,82933.71655654907,6885.62744140625
3,4,81656.06369495392,7012.77685546875
4,5,81323.43791770935,6876.201171875
5,6,80856.73306369781,7267.748046875
6,7,80084.06646633148,7725.4453125
7,8,81512.17542076111,6951.25244140625
8,9,79746.27374076843,6880.72021484375
9,10,76993.24947071075,6934.19140625
10,11,75003.55649662018,7725.9091796875
11,12,76468.88305568695,6957.9208984375
12,13,42793.78396320343,7258.53125
13,14,36720.919531822205,7802.59228515625
14,15,35032.97806549072,7034.01123046875
15,16,35089.52100467682,6938.92529296875
16,17,32288.097743988037,7125.39453125
17,18,18699.66871523857,6927.91455078125
18,19,15470.191784858704,7000.21044921875
19,20,15794.372750282288,6993.2392578125
20,21,13712.601369857788,7129.0771484375
21,22,12598.804407119751,7186.099609375
22,23,11552.267491817474,7564.9052734375
23,24,10691.258293151855,7108.46923828125
24,25,10226.989815473557,7306.88232421875
25,26,9850.24363231659,7788.3876953125
26,27,9612.360253334045,7441.7041015625
27,28,9388.400134086609,7468.0751953125
28,29,9175.695489883423,7628.451171875
29,30,9006.588709831238,7617.16357421875
