,epoch,train_loss,val_loss
0,1,69917.02091598511,21281.59765625
1,2,67975.4652261734,21254.99609375
2,3,67675.18876457214,21157.193359375
3,4,67359.21110916138,21334.611328125
4,5,66787.78748226166,22133.8125
5,6,66904.42945289612,21201.68359375
6,7,66088.05432319641,21156.345703125
7,8,65307.61504268646,21209.591796875
8,9,64282.484659194946,21232.068359375
9,10,64105.710253715515,21793.345703125
10,11,56512.51882839203,21193.052734375
11,12,50767.932198524475,23837.810546875
12,13,56972.082911491394,21233.955078125
13,14,68108.39723205566,21200.787109375
14,15,67518.31593322754,21329.7890625
15,16,65876.96622276306,21402.16796875
16,17,57597.154958724976,21518.9921875
17,18,44151.33942985535,21574.38671875
18,19,34875.14445209503,21630.896484375
19,20,31183.593156814575,21253.560546875
20,21,26200.568165779114,21255.453125
21,22,20910.99866771698,21393.90234375
22,23,17548.63810443878,21455.1640625
23,24,14618.632804870605,21691.96875
24,25,12843.866828918457,21947.865234375
25,26,12038.523341178894,21525.119140625
26,27,11165.404217720032,21330.62109375
27,28,10516.700435638428,21464.40234375
28,29,10173.237790107727,21534.2890625
29,30,9702.297444343567,21355.07421875
