,epoch,train_loss,val_loss
0,1,81337.000166893,12459.38671875
1,2,81360.00333118439,12459.38671875
2,3,81337.30819416046,12459.38671875
3,4,81346.72743320465,12459.38671875
4,5,81385.93413639069,12459.38671875
5,6,81338.98033714294,12459.38671875
6,7,81337.38364601135,12459.38671875
7,8,81337.09026908875,12459.38671875
8,9,81338.46159887314,12459.38671875
9,10,81348.19129705429,12459.38671875
10,11,81341.27984046936,12459.38671875
11,12,81336.8972082138,12459.38671875
12,13,81338.23208999634,12459.38671875
13,14,81339.79422092438,12459.38671875
14,15,81341.34683227539,12459.38671875
15,16,81343.75412940979,12459.38671875
16,17,81340.75246143341,12459.38671875
17,18,81348.06223773956,12459.38671875
18,19,81342.79231262207,12459.38671875
19,20,81341.7705860138,12459.38671875
20,21,81337.5511264801,12459.38671875
21,22,81339.79986286163,12459.38671875
22,23,81338.68126773834,12459.38671875
23,24,81338.35064125061,12459.38671875
24,25,81337.41359519958,12459.38671875
25,26,81336.97174453735,12459.38671875
26,27,81341.35909938812,12459.38671875
27,28,81341.31857585907,12459.38671875
28,29,81340.39515304565,12459.38671875
29,30,81352.86021995544,12459.38671875
