,carbon,path,site,rotation,patch size,site_index
903,4.435153184275247,patches/Nestor Macias RGB_0_903.png,Nestor Macias RGB,0,224,"(13, 32)"
904,3.6454140957834706,patches/Nestor Macias RGB_0_904.png,Nestor Macias RGB,0,224,"(13, 33)"
905,2.512305407501121,patches/Nestor Macias RGB_0_905.png,Nestor Macias RGB,0,224,"(13, 34)"
969,5.415744709760167,patches/Nestor Macias RGB_0_969.png,Nestor Macias RGB,0,224,"(14, 31)"
970,5.2174250773046165,patches/Nestor Macias RGB_0_970.png,Nestor Macias RGB,0,224,"(14, 32)"
971,4.379193473048036,patches/Nestor Macias RGB_0_971.png,Nestor Macias RGB,0,224,"(14, 33)"
972,3.4156554974334186,patches/Nestor Macias RGB_0_972.png,Nestor Macias RGB,0,224,"(14, 34)"
1035,5.4765860755807,patches/Nestor Macias RGB_0_1035.png,Nestor Macias RGB,0,224,"(15, 30)"
1036,6.18275852783777,patches/Nestor Macias RGB_0_1036.png,Nestor Macias RGB,0,224,"(15, 31)"
1037,6.02873457505603,patches/Nestor Macias RGB_0_1037.png,Nestor Macias RGB,0,224,"(15, 32)"
1038,5.511570424377043,patches/Nestor Macias RGB_0_1038.png,Nestor Macias RGB,0,224,"(15, 33)"
1039,4.9494111758054995,patches/Nestor Macias RGB_0_1039.png,Nestor Macias RGB,0,224,"(15, 34)"
1040,4.5208278469071095,patches/Nestor Macias RGB_0_1040.png,Nestor Macias RGB,0,224,"(15, 35)"
1041,4.2157282850601385,patches/Nestor Macias RGB_0_1041.png,Nestor Macias RGB,0,224,"(15, 36)"
1042,3.543434385209647,patches/Nestor Macias RGB_0_1042.png,Nestor Macias RGB,0,224,"(15, 37)"
1102,6.182123970571219,patches/Nestor Macias RGB_0_1102.png,Nestor Macias RGB,0,224,"(16, 30)"
1103,7.069082267369621,patches/Nestor Macias RGB_0_1103.png,Nestor Macias RGB,0,224,"(16, 31)"
1104,7.225993018429435,patches/Nestor Macias RGB_0_1104.png,Nestor Macias RGB,0,224,"(16, 32)"
1105,7.12098997316983,patches/Nestor Macias RGB_0_1105.png,Nestor Macias RGB,0,224,"(16, 33)"
1106,6.882384211156013,patches/Nestor Macias RGB_0_1106.png,Nestor Macias RGB,0,224,"(16, 34)"
1107,6.591141902901834,patches/Nestor Macias RGB_0_1107.png,Nestor Macias RGB,0,224,"(16, 35)"
1108,6.161357554024527,patches/Nestor Macias RGB_0_1108.png,Nestor Macias RGB,0,224,"(16, 36)"
1109,5.0939336305799605,patches/Nestor Macias RGB_0_1109.png,Nestor Macias RGB,0,224,"(16, 37)"
1169,6.5788008442807495,patches/Nestor Macias RGB_0_1169.png,Nestor Macias RGB,0,224,"(17, 30)"
1170,7.6555283770789275,patches/Nestor Macias RGB_0_1170.png,Nestor Macias RGB,0,224,"(17, 31)"
1171,8.188985724404263,patches/Nestor Macias RGB_0_1171.png,Nestor Macias RGB,0,224,"(17, 32)"
1172,8.475024516788354,patches/Nestor Macias RGB_0_1172.png,Nestor Macias RGB,0,224,"(17, 33)"
1173,8.517119263839836,patches/Nestor Macias RGB_0_1173.png,Nestor Macias RGB,0,224,"(17, 34)"
1174,8.269682567707688,patches/Nestor Macias RGB_0_1174.png,Nestor Macias RGB,0,224,"(17, 35)"
1175,7.6085407731615,patches/Nestor Macias RGB_0_1175.png,Nestor Macias RGB,0,224,"(17, 36)"
1176,6.23985710078844,patches/Nestor Macias RGB_0_1176.png,Nestor Macias RGB,0,224,"(17, 37)"
1177,4.302828443919848,patches/Nestor Macias RGB_0_1177.png,Nestor Macias RGB,0,224,"(17, 38)"
1236,6.279859977878029,patches/Nestor Macias RGB_0_1236.png,Nestor Macias RGB,0,224,"(18, 30)"
1237,7.435952916060522,patches/Nestor Macias RGB_0_1237.png,Nestor Macias RGB,0,224,"(18, 31)"
1238,8.452283677328564,patches/Nestor Macias RGB_0_1238.png,Nestor Macias RGB,0,224,"(18, 32)"
1239,9.314485190817408,patches/Nestor Macias RGB_0_1239.png,Nestor Macias RGB,0,224,"(18, 33)"
1240,9.701602187727403,patches/Nestor Macias RGB_0_1240.png,Nestor Macias RGB,0,224,"(18, 34)"
1241,9.344519273167531,patches/Nestor Macias RGB_0_1241.png,Nestor Macias RGB,0,224,"(18, 35)"
1242,8.283676814117596,patches/Nestor Macias RGB_0_1242.png,Nestor Macias RGB,0,224,"(18, 36)"
1243,6.682879830730412,patches/Nestor Macias RGB_0_1243.png,Nestor Macias RGB,0,224,"(18, 37)"
1244,4.820571099667384,patches/Nestor Macias RGB_0_1244.png,Nestor Macias RGB,0,224,"(18, 38)"
1302,4.771021899209961,patches/Nestor Macias RGB_0_1302.png,Nestor Macias RGB,0,224,"(19, 29)"
1303,5.492361523616344,patches/Nestor Macias RGB_0_1303.png,Nestor Macias RGB,0,224,"(19, 30)"
1304,6.781973992099269,patches/Nestor Macias RGB_0_1304.png,Nestor Macias RGB,0,224,"(19, 31)"
1305,8.449154146920788,patches/Nestor Macias RGB_0_1305.png,Nestor Macias RGB,0,224,"(19, 32)"
1306,9.960605499576277,patches/Nestor Macias RGB_0_1306.png,Nestor Macias RGB,0,224,"(19, 33)"
1307,10.547548341560669,patches/Nestor Macias RGB_0_1307.png,Nestor Macias RGB,0,224,"(19, 34)"
1308,9.862939161188836,patches/Nestor Macias RGB_0_1308.png,Nestor Macias RGB,0,224,"(19, 35)"
1309,8.296700830446252,patches/Nestor Macias RGB_0_1309.png,Nestor Macias RGB,0,224,"(19, 36)"
1310,6.527582801190043,patches/Nestor Macias RGB_0_1310.png,Nestor Macias RGB,0,224,"(19, 37)"
1311,4.986293053622724,patches/Nestor Macias RGB_0_1311.png,Nestor Macias RGB,0,224,"(19, 38)"
1312,3.7836307293404166,patches/Nestor Macias RGB_0_1312.png,Nestor Macias RGB,0,224,"(19, 39)"
1313,2.9343512488533556,patches/Nestor Macias RGB_0_1313.png,Nestor Macias RGB,0,224,"(19, 40)"
1314,2.3671034613618587,patches/Nestor Macias RGB_0_1314.png,Nestor Macias RGB,0,224,"(19, 41)"
1315,1.8611608419849217,patches/Nestor Macias RGB_0_1315.png,Nestor Macias RGB,0,224,"(19, 42)"
1367,5.3387840476707975,patches/Nestor Macias RGB_0_1367.png,Nestor Macias RGB,0,224,"(20, 27)"
1368,4.882634653895801,patches/Nestor Macias RGB_0_1368.png,Nestor Macias RGB,0,224,"(20, 28)"
1369,4.46986915705345,patches/Nestor Macias RGB_0_1369.png,Nestor Macias RGB,0,224,"(20, 29)"
1370,4.92210729671844,patches/Nestor Macias RGB_0_1370.png,Nestor Macias RGB,0,224,"(20, 30)"
1371,6.489783814017447,patches/Nestor Macias RGB_0_1371.png,Nestor Macias RGB,0,224,"(20, 31)"
1372,8.64987223364024,patches/Nestor Macias RGB_0_1372.png,Nestor Macias RGB,0,224,"(20, 32)"
1373,10.414451126688306,patches/Nestor Macias RGB_0_1373.png,Nestor Macias RGB,0,224,"(20, 33)"
1374,10.92186037741605,patches/Nestor Macias RGB_0_1374.png,Nestor Macias RGB,0,224,"(20, 34)"
1375,9.97844298889944,patches/Nestor Macias RGB_0_1375.png,Nestor Macias RGB,0,224,"(20, 35)"
1376,8.18386351016344,patches/Nestor Macias RGB_0_1376.png,Nestor Macias RGB,0,224,"(20, 36)"
1377,6.501136842778265,patches/Nestor Macias RGB_0_1377.png,Nestor Macias RGB,0,224,"(20, 37)"
1378,5.422576899569636,patches/Nestor Macias RGB_0_1378.png,Nestor Macias RGB,0,224,"(20, 38)"
1379,4.738637302665083,patches/Nestor Macias RGB_0_1379.png,Nestor Macias RGB,0,224,"(20, 39)"
1380,4.190957436598801,patches/Nestor Macias RGB_0_1380.png,Nestor Macias RGB,0,224,"(20, 40)"
1381,3.7093961181838666,patches/Nestor Macias RGB_0_1381.png,Nestor Macias RGB,0,224,"(20, 41)"
1382,3.1266155098797803,patches/Nestor Macias RGB_0_1382.png,Nestor Macias RGB,0,224,"(20, 42)"
1383,2.3621279481738977,patches/Nestor Macias RGB_0_1383.png,Nestor Macias RGB,0,224,"(20, 43)"
1430,4.576212009877782,patches/Nestor Macias RGB_0_1430.png,Nestor Macias RGB,0,224,"(21, 23)"
1431,5.689847582299903,patches/Nestor Macias RGB_0_1431.png,Nestor Macias RGB,0,224,"(21, 24)"
1432,6.441933497486862,patches/Nestor Macias RGB_0_1432.png,Nestor Macias RGB,0,224,"(21, 25)"
1433,6.740462831462959,patches/Nestor Macias RGB_0_1433.png,Nestor Macias RGB,0,224,"(21, 26)"
1434,6.248984722191809,patches/Nestor Macias RGB_0_1434.png,Nestor Macias RGB,0,224,"(21, 27)"
1435,5.187111644470821,patches/Nestor Macias RGB_0_1435.png,Nestor Macias RGB,0,224,"(21, 28)"
1436,4.491085130567842,patches/Nestor Macias RGB_0_1436.png,Nestor Macias RGB,0,224,"(21, 29)"
1437,5.018697823863846,patches/Nestor Macias RGB_0_1437.png,Nestor Macias RGB,0,224,"(21, 30)"
1438,6.785788476148794,patches/Nestor Macias RGB_0_1438.png,Nestor Macias RGB,0,224,"(21, 31)"
1439,8.911735031581362,patches/Nestor Macias RGB_0_1439.png,Nestor Macias RGB,0,224,"(21, 32)"
1440,10.404307781593014,patches/Nestor Macias RGB_0_1440.png,Nestor Macias RGB,0,224,"(21, 33)"
1441,10.749063394137183,patches/Nestor Macias RGB_0_1441.png,Nestor Macias RGB,0,224,"(21, 34)"
1442,9.90080400688786,patches/Nestor Macias RGB_0_1442.png,Nestor Macias RGB,0,224,"(21, 35)"
1443,8.396760137019074,patches/Nestor Macias RGB_0_1443.png,Nestor Macias RGB,0,224,"(21, 36)"
1444,7.1626493265889755,patches/Nestor Macias RGB_0_1444.png,Nestor Macias RGB,0,224,"(21, 37)"
1445,6.542548990755107,patches/Nestor Macias RGB_0_1445.png,Nestor Macias RGB,0,224,"(21, 38)"
1446,6.136365528928872,patches/Nestor Macias RGB_0_1446.png,Nestor Macias RGB,0,224,"(21, 39)"
1447,5.721348810126148,patches/Nestor Macias RGB_0_1447.png,Nestor Macias RGB,0,224,"(21, 40)"
1448,5.298052537081515,patches/Nestor Macias RGB_0_1448.png,Nestor Macias RGB,0,224,"(21, 41)"
1449,4.679090573655849,patches/Nestor Macias RGB_0_1449.png,Nestor Macias RGB,0,224,"(21, 42)"
1450,3.8290199688376236,patches/Nestor Macias RGB_0_1450.png,Nestor Macias RGB,0,224,"(21, 43)"
1451,2.962863178558271,patches/Nestor Macias RGB_0_1451.png,Nestor Macias RGB,0,224,"(21, 44)"
1495,2.640689203553857,patches/Nestor Macias RGB_0_1495.png,Nestor Macias RGB,0,224,"(22, 21)"
1496,3.7172490070204574,patches/Nestor Macias RGB_0_1496.png,Nestor Macias RGB,0,224,"(22, 22)"
1497,5.164060797649166,patches/Nestor Macias RGB_0_1497.png,Nestor Macias RGB,0,224,"(22, 23)"
1498,6.457444023653149,patches/Nestor Macias RGB_0_1498.png,Nestor Macias RGB,0,224,"(22, 24)"
1499,7.375937547579789,patches/Nestor Macias RGB_0_1499.png,Nestor Macias RGB,0,224,"(22, 25)"
1500,7.597905488409341,patches/Nestor Macias RGB_0_1500.png,Nestor Macias RGB,0,224,"(22, 26)"
1501,6.819402337452273,patches/Nestor Macias RGB_0_1501.png,Nestor Macias RGB,0,224,"(22, 27)"
1502,5.578084674880938,patches/Nestor Macias RGB_0_1502.png,Nestor Macias RGB,0,224,"(22, 28)"
